公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,分公司核准設立日期,分公司最後核准變更日期,city,year,area
23060248,全家便利商店股份有限公司,16090111,中興分公司,臺北市中山區龍江路201號1樓,1,0860825,1060216,臺北市,86,中山區
23060248,全家便利商店股份有限公司,16098747,林森分公司,臺北市中山區志新里林森北路六四四號一樓,3,0861120,0920605,臺北市,86,中山區
23060248,全家便利商店股份有限公司,16435564,晴光分公司,臺北市中山區農安街二之三號一樓,3,0870112,0920605,臺北市,87,中山區
23060248,全家便利商店股份有限公司,16450213,國賓分公司,臺北市中山區中山北路二段五十九之二號一樓,3,0870612,0920606,臺北市,87,中山區
23060248,全家便利商店股份有限公司,16639504,松花分公司,臺北市中山區松江路九十五之一號一樓,3,0870824,       ,臺北市,87,中山區
23060248,全家便利商店股份有限公司,16744941,六福分公司,臺北市中山區長春路一八二號一樓,3,0871017,0940531,臺北市,87,中山區
23060248,全家便利商店股份有限公司,16830925,濱江分公司,臺北市中山區建國北路三段111號1樓,1,0871215,1060215,臺北市,87,中山區
23060248,全家便利商店股份有限公司,16835436,大直分公司,臺北市中山區大直街33巷1號1樓,1,0880202,1060215,臺北市,88,中山區
23060248,全家便利商店股份有限公司,16839475,宜興分公司,臺北市中山區林森北路三二七號一樓,3,0880330,0920606,臺北市,88,中山區
23060248,全家便利商店股份有限公司,16839756,光華分公司,臺北市中山區松江路24之1號1樓,1,0880402,1060217,臺北市,88,中山區
23060248,全家便利商店股份有限公司,23225620,農安分公司,臺北市中山區農安街249號1樓,1,0780513,1060215,臺北市,78,中山區
23060248,全家便利商店股份有限公司,23526626,吉林分公司,臺北市中山區吉林路314號1樓,3,0781222,1060217,臺北市,78,中山區
23060248,全家便利商店股份有限公司,23931786,中原分公司,臺北市中山區吉林路一五六號一樓,3,0800719,0920606,臺北市,80,中山區
23060248,全家便利商店股份有限公司,24789127,台北市第五四O分公司,臺北市中山區龍江路356巷72號,1,1040327,1060216,臺北市,104,中山區
23060248,全家便利商店股份有限公司,24794661,台北市第五四六分公司,臺北市中山區力行里龍江路95號、97號1樓,1,1040713,1060215,臺北市,104,中山區
23060248,全家便利商店股份有限公司,24795021,台北市第五四七分公司,臺北市中山區中原里中原街16號、18號1樓,1,1040713,1060215,臺北市,104,中山區
23060248,全家便利商店股份有限公司,24804041,台北市第五五六分公司,臺北市中山區江寧里錦州街427號,1,1041222,1060217,臺北市,104,中山區
23060248,全家便利商店股份有限公司,24811079,台北市第五六九分公司,臺北市中山區劍潭里通北街111號,1,1050721,1060215,臺北市,105,中山區
23060248,全家便利商店股份有限公司,24814961,台北市第六三八分公司,臺北市中山區劍潭里中山北路4段1巷1號1樓(麒麟廳),1,1071122,       ,臺北市,107,中山區
23060248,全家便利商店股份有限公司,24815510,台北市第六四O分公司,臺北市中山區復華里復興北路148號1樓,3,1071207,       ,臺北市,107,中山區
23060248,全家便利商店股份有限公司,27231671,美華分公司,臺北市中山區北安里北安路819之1號1樓,1,0930209,1060215,臺北市,93,中山區
23060248,全家便利商店股份有限公司,27237133,興德分公司,臺北市中山區埤頭里復興南路一段38號1樓,1,0930531,1060215,臺北市,93,中山區
23060248,全家便利商店股份有限公司,27237801,伊通分公司,臺北市中山區中央里伊通街一０二號一樓,3,0930610,       ,臺北市,93,中山區
23060248,全家便利商店股份有限公司,27244943,撫順分公司,臺北市中山區集英里撫順街12之2號1樓,1,0931027,1060215,臺北市,93,中山區
23060248,全家便利商店股份有限公司,27258609,光輝分公司,臺北市中山區晴光里德惠街34之2號1樓,1,0940630,1060215,臺北市,94,中山區
23060248,全家便利商店股份有限公司,27926911,長津分公司,臺北市中山區正得里長安東路１段１５號１樓,3,0941013,       ,臺北市,94,中山區
23060248,全家便利商店股份有限公司,27935524,新農分公司,臺北市中山區恆安里農安街26之3號1樓,1,0950306,1060215,臺北市,95,中山區
23060248,全家便利商店股份有限公司,27941363,新泰分公司,臺北市中山區聚盛里民生東路1段41號1樓,3,0950621,       ,臺北市,95,中山區
23060248,全家便利商店股份有限公司,27943257,中賓分公司,臺北市中山區中山里中北路2段59之3號1樓,1,0950726,1060215,臺北市,95,中山區
23060248,全家便利商店股份有限公司,28418800,聚葉分公司,臺北市中山區中山北路2段137巷34號1樓,1,0960727,1060215,臺北市,96,中山區
23060248,全家便利商店股份有限公司,28421621,民族分公司,臺北市中山區行仁里民族東路410巷23弄24號1樓,1,0960913,1060217,臺北市,96,中山區
23060248,全家便利商店股份有限公司,28421636,大通分公司,臺北市中山區朱園里伊通街39號1樓,3,0960913,1060217,臺北市,96,中山區
23060248,全家便利商店股份有限公司,28421642,正義分公司,臺北市中山區正義里長安東路1段55號1樓,1,0960913,1060215,臺北市,96,中山區
23060248,全家便利商店股份有限公司,28422115,榮濱分公司,臺北市中山區民族東路410巷24號1樓,3,0960921,       ,臺北市,96,中山區
23060248,全家便利商店股份有限公司,28422136,稻江分公司,臺北市中山區新福里農安街82號1樓,3,0960921,       ,臺北市,96,中山區
23060248,全家便利商店股份有限公司,28422142,復榮分公司,臺北市中山區下埤里復興北路514巷36號1樓,3,0960921,       ,臺北市,96,中山區
23060248,全家便利商店股份有限公司,28422157,馬偕分公司,臺北市中山區集英里民生西路29號1樓,3,0960921,1060215,臺北市,96,中山區
23060248,全家便利商店股份有限公司,28422179,明水分公司,臺北市中山區永安里明水路581巷11號1樓,1,0960927,1060215,臺北市,96,中山區
23060248,全家便利商店股份有限公司,28422473,福泰分公司,臺北市中山區中山里民生東路1段36號1樓,1,0960927,1060215,臺北市,96,中山區
23060248,全家便利商店股份有限公司,28422635,長通分公司,臺北市中山區中央里伊通街108號1樓,1,0960927,1060215,臺北市,96,中山區
23060248,全家便利商店股份有限公司,28422918,欣欣分公司,臺北市中山區中原里長春路100號1樓,1,0960929,1060215,臺北市,96,中山區
23060248,全家便利商店股份有限公司,28423162,永安分公司,臺北市中山區成功里北安路630巷7號1樓,1,0961003,1060217,臺北市,96,中山區
23060248,全家便利商店股份有限公司,28423178,錦原分公司,臺北市中山區新生里中原街101號1樓,1,0961003,1060215,臺北市,96,中山區
23060248,全家便利商店股份有限公司,28423233,雙權分公司,臺北市中山區恆安里雙城街1號1樓,3,0961003,       ,臺北市,96,中山區
23060248,全家便利商店股份有限公司,28423254,五常分公司,臺北市中山區行仁里五常街53巷23號1樓,1,0961003,1060217,臺北市,96,中山區
23060248,全家便利商店股份有限公司,28423281,松權分公司,臺北市中山區新生里松江路362巷41號1樓,3,0961003,       ,臺北市,96,中山區
23060248,全家便利商店股份有限公司,28423661,新光分公司,臺北市中山區民安里南京西路12巷1號1樓,3,0961009,       ,臺北市,96,中山區
23060248,全家便利商店股份有限公司,28430945,朱崙分公司,臺北市中山區力行里朱崙街67號,1,0970227,1060215,臺北市,97,中山區
23060248,全家便利商店股份有限公司,28439657,衡山分公司,臺北市中山區劍潭里通北街111號1樓,3,0970923,       ,臺北市,97,中山區
23060248,全家便利商店股份有限公司,28970674,吉原分公司,臺北市中山區中原里中原街27號1樓,3,0971020,       ,臺北市,97,中山區
23060248,全家便利商店股份有限公司,28980069,京貿分公司,臺北市中山區南京東路3段65號1樓,1,0980618,1060215,臺北市,98,中山區
23060248,全家便利商店股份有限公司,28988652,金磚分公司,臺北市中山區雙城街19巷2號及17-7號1樓,1,0981210,1060216,臺北市,98,中山區
23060248,全家便利商店股份有限公司,28988695,市民分公司,臺北市中山區中山北路1段58號,1,0981211,1060215,臺北市,98,中山區
23060248,全家便利商店股份有限公司,28991684,玉林分公司,臺北市中山區民生東路1段27巷15號及17號,1,0990302,1060215,臺北市,99,中山區
23060248,全家便利商店股份有限公司,28995176,興亞分公司,臺北市中山區南京東路2段26號1樓,1,0990506,1060215,臺北市,99,中山區
23060248,全家便利商店股份有限公司,28995226,雙林分公司,臺北市中山區雙城街2之2號、2之3號1樓,1,0990507,1060216,臺北市,99,中山區
23060248,全家便利商店股份有限公司,28996148,南京分公司,臺北市中山區南京東路3段118號,3,0990531,       ,臺北市,99,中山區
23060248,全家便利商店股份有限公司,28998434,德林分公司,臺北市中山區德惠街173號,1,0990722,1060215,臺北市,99,中山區
23060248,全家便利商店股份有限公司,28998440,京通分公司,臺北市中山區伊通街50號1樓,3,0990722,       ,臺北市,99,中山區
23060248,全家便利商店股份有限公司,28999270,京江分公司,臺北市中山區一江街22號、22之1號1樓,1,0990810,1060215,臺北市,99,中山區
23060248,全家便利商店股份有限公司,51164814,台北市第五八O分公司,臺北市中山區永安里北安路458巷41弄46號、48號1樓,1,1051117,1060215,臺北市,105,中山區
23060248,全家便利商店股份有限公司,51398806,台北市第五九三分公司,臺北市中山區中山里中山北路二段75-1號1樓,1,1060510,       ,臺北市,106,中山區
23060248,全家便利商店股份有限公司,51448968,台北市第五九九分公司,臺北市中山區集英里權西路35號1樓,1,1060714,       ,臺北市,106,中山區
23060248,全家便利商店股份有限公司,51606620,台北市第六Ｏ八分公司,臺北市中山區成功里明水路605號1樓,3,1061212,       ,臺北市,106,中山區
23060248,全家便利商店股份有限公司,51642800,台北市第六一二分公司,臺北市中山區朱園里長安東路2段99號1樓及2樓,1,1070214,       ,臺北市,107,中山區
23060248,全家便利商店股份有限公司,51706986,台北市第六一六分公司,臺北市中山區松江里民生東路2段155號及155-1號1樓,1,1070411,       ,臺北市,107,中山區
23060248,全家便利商店股份有限公司,51754207,台北市第六二一分公司,臺北市中山區中山里林森北路376號1樓及民生東路1段58之1號1樓,1,1070524,1070705,臺北市,107,中山區
23060248,全家便利商店股份有限公司,51793406,台北市第六二六分公司,臺北市中山區江山里建國北路二段131號1樓,1,1070608,       ,臺北市,107,中山區
23060248,全家便利商店股份有限公司,51797304,台北市第六二五分公司,臺北市中山區新福里松江路400號1樓,1,1070612,       ,臺北市,107,中山區
23060248,全家便利商店股份有限公司,51807268,台北市第六二七分公司,臺北市中山區民安里中山北路2段44號1樓,1,1070704,       ,臺北市,107,中山區
23060248,全家便利商店股份有限公司,51900709,台北市第六四四分公司,臺北市中山區中央里松江路127之1號1樓,1,1080119,       ,臺北市,108,中山區
23060248,全家便利商店股份有限公司,53005172,新松分公司,臺北市中山區松江路330巷33號1樓,1,0991231,1060217,臺北市,99,中山區
23060248,全家便利商店股份有限公司,53010219,榮星分公司,臺北市中山區龍江路352號1樓,1,1000421,1060216,臺北市,100,中山區
23060248,全家便利商店股份有限公司,53010843,遼寧分公司,臺北市中山區長安東路2段216號、218號1樓,1,1000505,1060217,臺北市,100,中山區
23060248,全家便利商店股份有限公司,53021047,錦林分公司,臺北市中山區林森北路399巷10號1樓,1,1001123,1060217,臺北市,100,中山區
23060248,全家便利商店股份有限公司,53651776,金漾分公司,臺北市中山區林森北路308號、台北市中山區林森北路308-1號,1,1010614,1060217,臺北市,101,中山區
23060248,全家便利商店股份有限公司,53657912,美林分公司,臺北市中山區新生北路2段62巷38-3號,1,1010927,1060215,臺北市,101,中山區
23060248,全家便利商店股份有限公司,53669847,直學分公司,臺北市中山區大直街11號,1,1020424,1060215,臺北市,102,中山區
23060248,全家便利商店股份有限公司,53678590,台北市第五0一分公司,臺北市中山區復興北路514巷35號、37號,1,1020926,1060215,臺北市,102,中山區
23060248,全家便利商店股份有限公司,54370649,台北市第五0二分公司,臺北市中山區伊通街58號、60號,1,1021030,1060217,臺北市,102,中山區
