地址,Latitude,Longitude
臺北市中山區農安街一六０號一樓,25.0648387,121.5298306
臺北市中山區長安東路二段一一二號一樓,25.0483801,121.5375881
臺北市中山區民生西路三巷二號一樓,25.0590656,121.5217674
臺北市中山區松江路一八六之一號一樓,25.0583597,121.5332301
臺北市中山區民權東路二段一０七號一樓,25.0624759,121.5322447
臺北市中山區北安路５８２號１樓,25.0810678,121.5487008
臺北市中山區錦州街３３５號１樓,25.06033,121.5390977
臺北市中山區德惠街一０九號一樓,25.0666336,121.5279828
臺北市中山區錦州街４２３號１樓,25.0603209,121.5422513
臺北市中山區南京東路三段二五號一樓,25.0518207,121.5427989
臺北市中山區民權東路3段7號1樓,25.0625575,121.5412421
臺北市中山區天祥路70號1樓,25.0623835,121.5207833
臺北市中山區中山北路2段48巷7號地下1層,25.0558648,121.5213886
臺北市中山區朱園里松江路27號1樓,25.0473529,121.5332018
臺北市中山區興亞里松江路50號1樓,25.0481704,121.5327639
臺北市中山區松江路50號1樓,25.0481704,121.5327639
臺北市中山區林森北路258號1樓及地下室,25.0544811,121.5253041
臺北市中山區龍江路47號1樓,25.0492913,121.5406082
臺北市中山區南京東路三段一九五號一樓,25.0518207,121.5427989
臺北市中山區建國北路一段一五六號一樓,25.0491345,121.5369658
臺北市中山區長安東路二段六二號一樓,25.0483801,121.5375881
臺北市中山區北安路六二一巷四十八號一樓,25.0796593,121.5428669
臺北市中山區長春路一四九之三號一樓,25.0574387,121.540507
臺北市中山區松江路九十五之一號一樓,25.0583597,121.5332301
臺北市中山區中山北路二段六十五巷十三號一樓,25.058131,121.5227773
臺北市中山區松江路二八三之一號一樓,25.0583597,121.5332301
臺北市中山區德惠街一六七巷二號一樓,25.0666336,121.5279828
臺北市中山區長安東路一段十五號一樓,25.0489386,121.5255248
臺北市中山區民生西路六二號一樓,25.0576484,121.5205382
臺北市中山區民生東路二段一七０號一樓,25.0579557,121.5325847
臺北市中山區興亞里松江路二十八號、三十號、三十之一號一樓,25.0489905,121.5328953
臺北市中山區正義里林森北路一四九-一號及一四九-二號一樓,25.0505575,121.5250715
臺北市中山區錦州街三三五號一樓,25.0604281,121.523862
臺北市中山區四平街五十五號一樓,25.053641,121.5331394
臺北市中山區江寧里復興北路四００號一樓,25.0619069,121.5441308
臺北市中山區力行里長安東路二段一七一之七號一樓,25.0483187,121.5403886
臺北市中山區復華里長春路二０八號一樓,25.0546247,121.5421061
臺北市中山區南京西路一三號一樓,25.0526649,121.5205297
臺北市中山區長安東路二段一一八號一樓,25.0483801,121.5375881
臺北市中山區錦州街32-1、32-2號1樓,25.0602113,121.5249225
臺北市中山區龍江路333號及331巷1號,25.0631333,121.5410058
臺北市中山區中山北路2段65巷6號1樓,25.057033,121.52384
臺北市中山區中山北路２段９３巷４號１樓,25.0593234,121.5234216
臺北市中山區中山北路２段６５巷１３號１樓,25.0571417,121.5240264
臺北市中山區松江路１２３巷３號１樓,25.0530186,121.5337177
臺北市中山區明水路３９７巷７弄３２號１樓,25.0778696,121.5497623
臺北市中山區林森北路１０１號１樓,25.0501796,121.5250228
臺北市中山區錦州街１３６號１樓,25.0602532,121.5288291
臺北市中山區中山北路二段１３７巷２號１樓,25.0616509,121.5237028
臺北市中山區八德路二段３１４號１樓,25.0471378,121.5428431
臺北市中山區民生西路２號１樓,25.0573945,121.517272
臺北市中山區德惠街１０８號１樓,25.0664862,121.5294163
臺北市中山區錦洲街４２３號１樓,25.0603209,121.5422513
臺北市中山區中原街７７號１樓,25.0590394,121.5289947
臺北市中山區長安東路1段53巷1之6號1樓,25.0487385,121.5270817
臺北市中山區合江街61巷1號1樓,25.057319,121.539267
臺北市中山區中山北路2段93巷5、5之1號1樓,25.0594599,121.5235224
臺北市中山區林森北路107巷86號1樓,25.0495975,121.5278403
臺北市中山區長春路四五號一樓,25.0547596,121.5362689
臺北市中山區錦州街二七六號一樓,25.060337,121.5337764
臺北市中山區錦州街三二號一樓,25.060337,121.5337764
臺北市中山區南京東路三段２１６巷１７號１樓,25.0511943,121.5434872
臺北市中山區龍江路三二九號一樓,25.0626817,121.54104
臺北市中山區民權西路四二之一號一樓,25.0627693,121.5204057
臺北市中山區民權東路3段71、73號1樓,25.0625639,121.5435289
臺北市中山區民生東路二段157號,25.058153,121.5358793
臺北市中山區伊通街30號1樓,25.0508764,121.5346648
臺北市中山區林森北路262號1樓,25.0546309,121.5253239
臺北市中山區中山北路二段七十四號１樓,25.058131,121.5227773
臺北市中山區民權西路66號1樓,25.0626036,121.5200647
臺北市中山區復興北路164號1樓,25.0534748,121.5438476
臺北市中山區長安東路二段１７６號１樓,25.0481601,121.5406131
臺北市中山區長春路67號1樓,25.0550434,121.5265715
臺北市中山區合江街117號1樓,25.0603761,121.5393921
臺北市中山區北安路六四九號一樓,25.0796593,121.5428669
臺北市中山區松江路三０五號一樓,25.0583597,121.5332301
臺北市中山區長安東路二段一０一號一樓,25.0483801,121.5375881
臺北市中山區松江路二六八號一樓,25.0583597,121.5332301
臺北市中山區民權東路三段二十二號一樓,25.0621266,121.544137
臺北市中山區農安街28-1號、28-2號1樓,25.0648078,121.5264024
臺北市中山區林森北路617號1樓,25.0667765,121.5258828
臺北市中山區天津街65號1樓,25.0517269,121.5235701
臺北市中山區民生東路2段111、113號1樓,25.0581029,121.5314186
臺北市中山區林森北路500號1樓,25.0618376,121.5254316
臺北市中山區合江街58巷1號1樓：60、60-1號1樓,25.0558319,121.538936
臺北市中山區龍江路281-1號1樓,25.0601059,121.5409117
臺北市中山區復興北路３５２號１樓,25.0601149,121.5439347
臺北市中山區龍江路322、322-1、322-2號1樓,25.0649066,121.5407952
臺北市中山區北安路六二一巷四八號一樓,25.0796593,121.5428669
臺北市中山區八德路二段282號1樓,25.0469055,121.5416914
臺北市中山區復興北路六四號一樓,25.0576899,121.5442434
臺北市中山區龍江路４０３號１樓,25.0658311,121.5410826
臺北市中山區朱崙街60號1樓,25.0498531,121.54355
臺北市中山區林森北路624、626號1樓,25.0673266,121.5255489
臺北市中山區南京東路2段100號1樓,25.0517577,121.5319808
臺北市中山區敬業四路1號1樓,25.0834051,121.558727
臺北市中山區長春路一六八號一樓,25.0547596,121.5362689
臺北市中山區中山北路三段二十三之六號一樓,25.0693667,121.5232252
臺北市中山區遼寧街110號1樓 / 遼寧街108巷1號1樓,25.0525531,121.5419221
臺北市中山區南京東２段２３號１樓,25.0523009,121.5288999
臺北市中山區大直街１１號１樓,25.0809055,121.546514
臺北市中山區長春路182號1、2樓,25.0546701,121.5345204
臺北市中山區長安東路２段２０３、２０５號１樓,25.0483,121.5433851
臺北市中山區建國北路２段６５號１樓,25.0558963,121.5372279
臺北市中山區錦西街16號,25.0602699,121.5213021
臺北市中山區建國北路３段89、91號1樓,25.0656223,121.5368585
臺北市中山區松江路２０８號１樓,25.0577782,121.5328522
臺北市中山區北安路839-1號,25.0846901,121.5572994
臺北市中山區長春路257號1樓,25.0547848,121.5406529
臺北市中山區南京東路1段132巷8號1樓,25.0792018,121.5427093
臺北市中山區江寧里復興北路402巷24號,25.0617239,121.5424834
臺北市中山區興安街99號,25.0561563,121.5435234
臺北市中山區圓山里中山北路3段57號1樓,25.068247,121.5231709
臺北市中山區長安東路1段53巷1之3號1樓,25.0487385,121.5270817
臺北市中山區一江街11、13號1樓,25.0511158,121.5316259
臺北市中山區松江路101號1樓,25.0511496,121.5332724
臺北市中山區德惠街15號1樓,25.0667806,121.5260034
臺北市中山區長安東路2段178、178號之1一樓,25.0482057,121.5406285
臺北市中山區建國北路2段151巷8號1樓,25.0616807,121.5380911
臺北市中山區南京西路12巷9號1樓,25.0518507,121.5214804
臺北市中山區復興北路148號1樓,25.0524549,121.5438183
臺北市中山區南京東路2段11號1樓,25.0523055,121.5284519
臺北市中山區樂群三路218號1樓,25.0823393,121.5580361
臺北市中山區中山北路2段77巷3、5號1樓,25.0576206,121.5232335
臺北市中山區中山北路2段39巷8號1樓,25.0539067,121.5235636
臺北市中山區松江路418及420號1樓,25.0645834,121.5329853
臺北市中山區南京東路2段144號1樓,25.0517239,121.5339702
臺北市中山區林森北路101號1樓,25.0501796,121.5250228
臺北市中山區松江路237號1樓,25.0589738,121.5334442
臺北市中山區敬業一路130號1樓,25.0836144,121.5524833
臺北市中山區中山北路2段56號1樓,25.0565108,121.5225252
臺北市中山區明水路636號1樓；樂群三路1號1樓,25.0830155,121.5513168
臺北市中山區林森北路380號之1  1樓,25.0584415,121.5253511
臺北市中山區松江路295、295-1號1樓,25.0610038,121.533381
臺北市中山區長安東路1段75號1樓,25.0487385,121.5270817
臺北市中山區中山北路2段11巷1、3號1樓,25.0529091,121.5232915
臺北市中山區建國北路89、91號1樓,25.0586003,121.5374111
臺北市中山區江山里建國北路2段127號1樓,25.0599492,121.5373374
臺北市中山區民權東路2段96、98號1樓,25.0623477,121.5318334
臺北市中山區林森北路108號1樓,25.0509333,121.5249159
臺北市中山區建國北路2段13號1樓,25.053754,121.537282
臺北市中山區中山北路2段44巷2號1樓,25.0549545,121.5214518
臺北市中山區民生東路1段46、46-1號1樓,25.0580064,121.5395301
臺北市中山區吉林路209、211號1樓,25.0602601,121.5303563
臺北市中山區龍江路356巷39、41號1樓,25.066155,121.539345
臺北市中山區林森北路107巷15號1樓,25.0503204,121.5256788
臺北市中山區明水路397巷7弄25號1樓,25.0781431,121.5494307
臺北市中山區錦州街229號1樓,25.0604279,121.5324122
臺北市中山區龍江路104號1樓,25.0527425,121.5402574
臺北市中山區明水路581巷15號1樓,25.0801736,121.5509163
臺北市中山區興安街112號1樓,25.0557944,121.5430128
臺北市中山區南京東路3段21號1樓,25.0523129,121.537779
臺北市中山區敬業三路11號1樓,25.0835286,121.5556427
臺北市中山區復興北路348號1樓,25.0599782,121.5439299
臺北市中山區敬業三路11號1樓,25.0835286,121.5556427
臺北市中山區吉林路97號、99號1樓,25.0559385,121.5305314
臺北市中山區林森北路587號1樓,25.0660473,121.5258937
臺北市中山區松江路183、183之1號1樓,25.0563979,121.5333247
臺北市中山區龍江路384巷1、3號1樓,25.0669052,121.5408686
臺北市中山區建國北路一段一三六號一樓,25.0491345,121.5369658
臺北市中山區南京東路一段一三０之四號一樓,25.052034,121.5253217
臺北市中山區南京東路二段二十三號一樓,25.0519412,121.5324173
臺北市中山區中山北路三段四十九號,25.0693667,121.5232252
臺北市中山區松江路一二三巷三號一樓,25.0583597,121.5332301
