公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,分公司核准設立日期,分公司最後核准變更日期,city,year,area
22853565,來來超商股份有限公司,16847334,第四０一分公司,臺北市中山區北安路５５４巷４９號１樓,3,0880625,0941207,臺北市,88,中山區
22853565,來來超商股份有限公司,23932618,第一一０分公司,臺北市中山區民權東路２段７１巷７號１樓,1,0800909,0941129,臺北市,80,中山區
22853565,來來超商股份有限公司,24789576,第一一九一分公司,臺北市中山區南京東路3段86號1樓,3,1040409,1060829,臺北市,104,中山區
22853565,來來超商股份有限公司,27240849,第八四四分公司,臺北市中山區新生北路２段３６號１樓,3,0930817,0941214,臺北市,93,中山區
22853565,來來超商股份有限公司,27242614,第八五六分公司,臺北市中山區龍江路４７號１樓,3,0930914,0941129,臺北市,93,中山區
22853565,來來超商股份有限公司,27259311,第九二四分公司,臺北市中山區民權東路２段１４２號１樓,3,0940712,0950901,臺北市,94,中山區
22853565,來來超商股份有限公司,28990931,第一○一○分公司,臺北市中山區南京東路3段89巷5之4號,3,0990201,       ,臺北市,99,中山區
22853565,來來超商股份有限公司,28994351,第六九一分公司,臺北市中山區中原街8號,3,0990420,       ,臺北市,99,中山區
22853565,來來超商股份有限公司,28996668,第四八八分公司,臺北市中山區德惠街178號,3,0990609,       ,臺北市,99,中山區
22853565,來來超商股份有限公司,28998413,第八二一分公司,臺北市中山區撫順街21號,1,0990723,       ,臺北市,99,中山區
22853565,來來超商股份有限公司,53021308,第四六一分公司,臺北市中山區吉林路163號1樓,3,1001129,       ,臺北市,100,中山區
22853565,來來超商股份有限公司,54373619,第一一二九分公司,臺北市中山區林森北路360、362號1樓,3,1021211,1060829,臺北市,102,中山區
22853565,來來超商股份有限公司,70769139,第五六０分公司,臺北市中山區中山北路二段一一五巷七號一樓,3,0890411,0930105,臺北市,89,中山區
22853565,來來超商股份有限公司,70822726,第七一五分公司,臺北市中山區德惠街１７３號１樓,3,0901106,0941212,臺北市,90,中山區
22853565,來來超商股份有限公司,80022694,第三０三分公司,臺北市中山區龍江路三００號一樓,3,0920522,0930106,臺北市,92,中山區
22853565,來來超商股份有限公司,80328999,第七０四分公司,臺北市中山區松江路二五七號一樓,3,0910307,0930420,臺北市,91,中山區
22853565,來來超商股份有限公司,80329717,第十六分公司,臺北市中山區長春路２５７號１樓,3,0910315,0941129,臺北市,91,中山區
22853565,來來超商股份有限公司,80347314,第七五七分公司,臺北市中山區八德路２段２３３號１樓,3,0911118,0941208,臺北市,91,中山區
22853565,來來超商股份有限公司,80354362,第七七七分公司,臺北市中山區民生東路２段３５號１樓,3,0920213,0941208,臺北市,92,中山區
22853565,來來超商股份有限公司,89404645,第二００分公司,臺北市中山區中山北路１段５８號１樓,3,0841021,0941212,臺北市,84,中山區
22853565,來來超商股份有限公司,96974613,第二二五分公司,臺北市中山區北安路４７６號１樓,1,0850315,0941212,臺北市,85,中山區
22853565,來來超商股份有限公司,97171916,第２８０分公司,臺北市中山區南京東路３段１１８號１樓,3,0851219,0941208,臺北市,85,中山區
