公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,分公司核准設立日期,分公司最後核准變更日期,city,year,area
22555003,統一超商股份有限公司,16082148,台北巿第二二四分公司,臺北市中山區民權東路3段71、73號1樓,1,0860515,1000920,臺北市,86,中山區
22555003,統一超商股份有限公司,16082787,台北巿第３４３分公司,臺北市中山區民生東路二段157號,1,0860522,1070907,臺北市,86,中山區
22555003,統一超商股份有限公司,16083738,台北巿第２１３分公司,臺北市中山區伊通街30號1樓,1,0860604,1080717,臺北市,86,中山區
22555003,統一超商股份有限公司,16085237,台北市第３３１分公司,臺北市中山區林森北路262號1樓,1,0860619,1070911,臺北市,86,中山區
22555003,統一超商股份有限公司,16085243,台北市第３４５分公司,臺北市中山區中山北路二段七十四號１樓,3,0860619,0890216,臺北市,86,中山區
22555003,統一超商股份有限公司,16086926,台北巿第３４７分公司,臺北市中山區民權西路66號1樓,1,0860710,1070904,臺北市,86,中山區
22555003,統一超商股份有限公司,16089732,台北巿第３５２分公司,臺北市中山區復興北路164號1樓,1,0860820,1070905,臺北市,86,中山區
22555003,統一超商股份有限公司,16094361,台北巿第３５５分公司,臺北市中山區長安東路二段１７６號１樓,3,0861003,0870113,臺北市,86,中山區
22555003,統一超商股份有限公司,16435558,台北巿第３６４分公司,臺北市中山區長春路67號1樓,1,0870112,1070906,臺北市,87,中山區
22555003,統一超商股份有限公司,16448673,台北巿第３７９分公司,臺北市中山區合江街117號1樓,1,0870602,1070906,臺北市,87,中山區
22555003,統一超商股份有限公司,16633641,台北市第３８５分公司,臺北市中山區北安路六四九號一樓,1,0870714,       ,臺北市,87,中山區
22555003,統一超商股份有限公司,16832228,台北市第２９９分公司,臺北市中山區松江路三０五號一樓,3,0871221,       ,臺北市,87,中山區
22555003,統一超商股份有限公司,16832655,台北市第３９２分公司,臺北市中山區長安東路二段一０一號一樓,1,0871223,       ,臺北市,87,中山區
22555003,統一超商股份有限公司,16834979,台北市第３９９分公司,臺北市中山區松江路二六八號一樓,3,0880126,0911008,臺北市,88,中山區
22555003,統一超商股份有限公司,16835793,台北市第４００分公司,臺北市中山區民權東路三段二十二號一樓,3,0880204,0900731,臺北市,88,中山區
22555003,統一超商股份有限公司,22555849,台北市第五十七分公司,臺北市中山區農安街28-1號、28-2號1樓,1,0760622,1100324,臺北市,76,中山區
22555003,統一超商股份有限公司,22555854,台北市第五十八分公司,臺北市中山區林森北路617號1樓,3,0760622,0970325,臺北市,76,中山區
22555003,統一超商股份有限公司,22656044,台北市第七十七分公司,臺北市中山區天津街65號1樓,1,0760622,1051230,臺北市,76,中山區
22555003,統一超商股份有限公司,22656086,台北市第八十一分公司,臺北市中山區民生東路2段111、113號1樓,1,0760622,1070903,臺北市,76,中山區
22555003,統一超商股份有限公司,22656136,台北市第八十六分公司,臺北市中山區林森北路500號1樓,1,0760622,1051215,臺北市,76,中山區
22555003,統一超商股份有限公司,22656163,台北市第八十九分公司,臺北市中山區合江街58巷1號1樓：60、60-1號1樓,1,0760622,1000328,臺北市,76,中山區
22555003,統一超商股份有限公司,22820208,台北巿第１０９分公司,臺北市中山區龍江路281-1號1樓,1,0770406,1051215,臺北市,77,中山區
22555003,統一超商股份有限公司,22958239,台北巿第１２０分公司,臺北市中山區復興北路３５２號１樓,3,0770811,1051215,臺北市,77,中山區
22555003,統一超商股份有限公司,23357810,台北巿第１４３分公司,臺北市中山區龍江路322、322-1、322-2號1樓,1,0780327,1051215,臺北市,78,中山區
22555003,統一超商股份有限公司,23357826,台北市第一四四分公司,臺北市中山區北安路六二一巷四八號一樓,1,0780419,       ,臺北市,78,中山區
22555003,統一超商股份有限公司,23360081,台北巿第１４７分公司,臺北市中山區八德路二段282號1樓,1,0780421,1051215,臺北市,78,中山區
