Unnamed: 0,area,enter numb,Longitude,Latitude_x,enter name,geometry
,民安里,1,121.520303,25.052414,中山站出口1,POINT (121.520303 25.052414)
,民安里,2,121.521063,25.052382,中山站出口2,POINT (121.521063 25.052382)
,民安里,3,121.521154,25.052611,中山站出口3,POINT (121.521154 25.052611)
,集英里,1,121.519454,25.062641,民權西路站出口1,POINT (121.519454 25.062641)
,集英里,4,121.519867,25.061936,民權西路站出口4,POINT (121.519867 25.061936)
,集英里,3,121.519888,25.061991,民權西路站出口3,POINT (121.519888 25.061991)
,集英里,7,121.520092,25.06267,民權西路站出口7,POINT (121.520092 25.06267)
,集英里,8,121.520602,25.06266,民權西路站出口8,POINT (121.520602 25.06266)
,集英里,9,121.520744,25.063027,民權西路站出口9,POINT (121.520744 25.063027)
,集英里,10,121.519791,25.063063,民權西路站出口10,POINT (121.519791 25.063063)
,聚葉里,2,121.526148,25.062461,中山國小站出口2,POINT (121.526148 25.062461)
,聚葉里,3,121.527114,25.062476,中山國小站出口3,POINT (121.527114 25.062476)
,中吉里,8,121.532826,25.05257,松江南京站出口8,POINT (121.532826 25.05257)
,興亞里,1,121.532388,25.051842,松江南京站出口1,POINT (121.532388 25.051842)
,興亞里,2,121.532875,25.051342,松江南京站出口2,POINT (121.532875 25.051342)
,興亞里,3,121.53287,25.051085,松江南京站出口3,POINT (121.53287 25.051085)
,力行里,2,121.541863,25.051748,南京復興站出口2,POINT (121.541863 25.051748)
,力行里,3,121.543237,25.051719,南京復興站出口4,POINT (121.543237 25.051719)
,力行里,4,121.543237,25.051719,南京復興站出口4,POINT (121.543237 25.051719)
,中央里,6,121.533727,25.052095,松江南京站出口6,POINT (121.533727 25.052095)
,中央里,7,121.533195,25.05247,松江南京站出口7,POINT (121.533195 25.05247)
,朱園里,4,121.53324,25.051624,松江南京站出口4,POINT (121.53324 25.051624)
,朱園里,5,121.534081,25.051882,松江南京站出口5,POINT (121.534081 25.051882)
,松江里,2,121.533342,25.058792,行天宮站出口2,POINT (121.533342 25.058792)
,松江里,3,121.533393,25.059868,行天宮站出口3,POINT (121.533393 25.059868)
,江寧里,0,121.544031,25.060889,中山國中站出口,POINT (121.544031 25.060889)
,新生里,4,121.532991,25.060365,行天宮站出口4,POINT (121.532991 25.060365)
,中庄里,1,121.533004,25.058316,行天宮站出口1,POINT (121.533004 25.058316)
,復華里,1,121.542121,25.052625,南京復興站出口1,POINT (121.542121 25.052625)
,復華里,8,121.543819,25.052018,南京復興站出口8,POINT (121.543819 25.052018)
,北安里,1,121.555226,25.085174,劍南路站出口1,POINT (121.555226 25.085174)
,恆安里,1,121.526095,25.06284,中山國小站出口1,POINT (121.526095 25.06284)
,恆安里,4,121.526835,25.062835,中山國小站出口4,POINT (121.526835 25.062835)
,成功里,2,121.555097,25.084754,劍南路站出口2,POINT (121.555097 25.084754)
,成功里,3,121.556098,25.084484,劍南路站出口3,POINT (121.556098 25.084484)
,永安里,2,121.546823,25.079584,大直站出口2,POINT (121.546823 25.079584)
,永安里,3,121.546901,25.07931,大直站出口3,POINT (121.546901 25.07931)
,圓山里,1,121.520033,25.070785,圓山站出口1,POINT (121.520033 25.070785)
,圓山里,2,121.520108,25.071776,圓山站出口2,POINT (121.520108 25.071776)
,大直里,1,121.547104,25.080118,大直站出口1,POINT (121.547104 25.080118)
